Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
Received data from godot: {'turn_results': {'turn': 43, 'p1_money': 129, 'p2_money': 0, 'p1_last_move': 0, 'p2_last_move': 1, 'match_finished': False}, 'PY_OUTPUT': 'true', 'GD_OUTPUT': 'false'}
